,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
0,1,,Afghanistan,1621603255000.0,33.93911,67.709953,64575,55790,2772,6013,,,Afghanistan
1,2,,Albania,1621603255000.0,41.1533,20.1683,132118,127869,2440,1809,,,Albania
2,3,,Algeria,1621603255000.0,28.0339,1.6596,126156,87902,3401,34853,,,Algeria
3,4,,Andorra,1621603255000.0,42.5063,1.5218,13569,13234,127,208,,,Andorra
4,5,,Angola,1621603255000.0,-11.2027,17.8739,31661,26483,704,4474,,,Angola
5,6,,Antigua and Barbuda,1621603255000.0,17.0608,-61.7964,1255,1188,42,25,,,Antigua and Barbuda
6,7,,Argentina,1621603255000.0,-38.4161,-63.6167,3447044,3035134,72699,339211,,,Argentina
7,8,,Armenia,1621603255000.0,40.0691,45.0382,221699,210464,4371,6864,,,Armenia
8,9,Australian Capital Territory,Australia,1621603255000.0,-35.4735,149.0124,124,121,3,0,,,"Australian Capital Territory, Australia"
9,10,New South Wales,Australia,1621603255000.0,-33.8688,151.2093,5567,0,54,5513,,,"New South Wales, Australia"
10,11,Northern Territory,Australia,1621603255000.0,-12.4634,130.8456,170,165,0,5,,,"Northern Territory, Australia"
11,12,Queensland,Australia,1621603255000.0,-27.4698,153.0251,1595,1572,7,16,,,"Queensland, Australia"
12,13,South Australia,Australia,1621603255000.0,-34.9285,138.6007,748,739,4,5,,,"South Australia, Australia"
13,14,Tasmania,Australia,1621603255000.0,-42.8821,147.3272,234,221,13,0,,,"Tasmania, Australia"
14,15,Victoria,Australia,1621603255000.0,-37.8136,144.9631,20546,19708,820,18,,,"Victoria, Australia"
15,16,Western Australia,Australia,1621603255000.0,-31.9505,115.8605,1016,1002,9,5,,,"Western Australia, Australia"
16,17,,Austria,1621603255000.0,47.5162,14.5501,640293,620837,10534,8922,,,Austria
17,18,,Azerbaijan,1621603255000.0,40.1431,47.5769,331477,318502,4828,8147,,,Azerbaijan
18,19,,Bahamas,1621603255000.0,25.025885,-78.035889,11396,10221,222,953,,,Bahamas
19,20,,Bahrain,1621603255000.0,26.0275,50.55,209293,189962,787,18544,,,Bahrain
20,21,,Bangladesh,1621603255000.0,23.685,90.3563,786698,729039,12310,45349,,,Bangladesh
21,22,,Barbados,1621603255000.0,13.1939,-59.5432,3975,3922,47,6,,,Barbados
22,23,,Belarus,1621603255000.0,53.7098,27.9534,383302,373391,2752,7159,,,Belarus
23,24,Antwerp,Belgium,1621603255000.0,51.2195,4.4024,134568,0,0,134568,,,"Antwerp, Belgium"
24,25,Brussels,Belgium,1621603255000.0,50.8503,4.3517,127875,0,0,127875,,,"Brussels, Belgium"
25,26,East Flanders,Belgium,1621603255000.0,51.0362,3.7373,119814,0,0,119814,,,"East Flanders, Belgium"
26,27,Flemish Brabant,Belgium,1621603255000.0,50.9167,4.5833,79257,0,0,79257,,,"Flemish Brabant, Belgium"
27,28,Hainaut,Belgium,1621603255000.0,50.5257,4.0621,153705,0,0,153705,,,"Hainaut, Belgium"
28,29,Liege,Belgium,1621603255000.0,50.4496,5.8492,126133,0,0,126133,,,"Liege, Belgium"
29,30,Limburg,Belgium,1621603255000.0,50.9739,5.342,58501,0,0,58501,,,"Limburg, Belgium"
30,31,Luxembourg,Belgium,1621603255000.0,50.0547,5.4677,30395,0,0,30395,,,"Luxembourg, Belgium"
31,32,Namur,Belgium,1621603255000.0,50.331,4.8221,57857,0,0,57857,,,"Namur, Belgium"
32,33,Unknown,Belgium,1621603255000.0,,,19831,0,24794,-4963,,,"Unknown, Belgium"
33,34,Walloon Brabant,Belgium,1621603255000.0,50.4,4.35,39680,0,0,39680,,,"Walloon Brabant, Belgium"
34,35,West Flanders,Belgium,1621603255000.0,51.0536,3.1458,94090,0,0,94090,,,"West Flanders, Belgium"
35,36,,Belize,1621603255000.0,17.1899,-88.4976,12761,12349,323,89,,,Belize
36,37,,Benin,1621603255000.0,9.3077,2.3158,8025,7893,101,31,,,Benin
37,38,,Bhutan,1621603255000.0,27.5142,90.4336,1338,1186,1,151,,,Bhutan
38,39,,Bolivia,1621603255000.0,-16.2902,-63.5887,343065,277711,13780,51574,,,Bolivia
39,40,,Bosnia and Herzegovina,1621603255000.0,43.9159,17.6791,203018,171332,9096,22590,,,Bosnia and Herzegovina
40,41,,Botswana,1621603255000.0,-22.3285,24.6849,51620,48449,784,2387,,,Botswana
41,42,Acre,Brazil,1621603255000.0,-9.0238,-70.812,80797,73085,1632,6080,,,"Acre, Brazil"
42,43,Alagoas,Brazil,1621603255000.0,-9.5713,-36.782,187085,177282,4554,5249,,,"Alagoas, Brazil"
43,44,Amapa,Brazil,1621603255000.0,0.902,-52.003,109777,82294,1645,25838,,,"Amapa, Brazil"
